words,count
cbd,2667
melbourne,2248
home,1921
private,1855
house,1508
modern,1442
spacious,1057
close,989
heart,982
parking,845
central,817
pool,762
luxury,752
new,751
beach,725
beautiful,636
yarra,633
townhouse,552
gym,544
stylish,539
family,524
southbank,467
large,466
park,462
tram,454
bathroom,444
fitzroy,424
amazing,407
walk,397
garden,394
stunning,392
comfortable,351
balcony,350
east,347
richmond,347
queen,336
best,330
lovely,326
bath,313
sunny,312
double,311
perfect,308
clean,295
style,287
ensuite,286
crown,261
suite,260
brand,260
airport,247
boutique,240
deco,228
terrace,227
charming,220
docklands,217
master,214
