id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
9835,60,4,4.0,1.0
10803,36,145,110.0,30.0
12936,159,42,11.0,3.0
38271,99,148,84.0,23.0
41836,49,161,255.0,70.0
43429,97,210,124.0,34.0
44082,79,50,22.0,6.0
47100,97,178,170.0,46.7
51592,249,251,150.0,41.0
66754,139,70,33.0,9.0
67211,45,172,113.0,31.0
68411,300,0,0.0,0.0
69421,180,1,4.0,1.0
70328,70,129,77.0,21.0
72576,121,526,255.0,70.0
74324,243,67,255.0,70.0
74548,85,428,255.0,70.0
74959,94,108,66.0,18.0
76867,85,252,183.0,50.0
78143,97,146,95.0,26.0
80986,120,80,40.0,11.0
86369,85,24,128.0,35.0
108032,141,254,172.0,47.0
111001,45,157,22.0,6.0
120487,93,81,58.0,16.0
133617,90,14,22.0,6.0
136510,45,10,58.0,16.0
144236,246,0,0.0,0.0
150729,90,579,255.0,70.0
157427,150,34,22.0,6.0
161033,80,234,168.0,46.0
161404,97,32,44.0,12.0
163077,139,59,29.0,8.0
167067,45,72,78.0,21.3
173426,36,18,15.0,4.0
189128,60,92,80.0,22.0
189293,30,1,4.0,1.0
210568,59,22,18.0,5.0
213348,70,5,7.0,2.0
214565,29,0,0.0,0.0
227028,221,105,62.0,17.0
229430,49,23,18.0,5.0
230790,550,76,84.0,23.0
232088,99,21,15.0,4.0
232812,190,8,7.0,2.0
240410,155,76,58.0,16.0
241263,90,228,164.0,45.0
244872,73,0,0.0,0.0
244952,125,281,219.0,60.0
247006,93,142,106.0,29.0
247140,226,81,55.0,15.0
248235,420,12,10.0,2.7
256186,133,155,247.0,67.7
257149,128,122,88.0,24.0
257915,700,51,33.0,9.0
261558,94,17,29.0,8.0
263871,124,41,85.0,23.3
268525,36,0,0.0,0.0
268620,73,0,0.0,0.0
268849,114,500,255.0,70.0
277605,219,8,4.0,1.0
280698,199,62,223.0,61.0
283257,141,129,135.0,37.0
284210,145,34,54.0,14.7
289467,250,4,4.0,1.0
297350,45,281,208.0,57.0
300679,32,80,47.0,13.0
307615,76,106,84.0,23.0
307630,76,122,106.0,29.0
309093,249,24,0.0,0.0
310594,134,172,102.0,28.0
313648,110,47,54.0,14.7
315513,45,102,66.0,18.0
317239,94,0,0.0,0.0
323280,63,46,40.0,11.0
331605,357,86,73.0,20.0
334891,85,4,4.0,1.0
363060,70,0,0.0,0.0
363278,70,260,193.0,53.0
366848,128,21,37.0,10.0
381690,114,36,29.0,8.0
386252,100,0,0.0,0.0
394600,107,226,175.0,48.0
403876,134,233,179.0,49.0
